exp,aa,ua,cell,lopp
1459,0.1,0.5,170,5
1460,0.1,0.5,170,5
1461,0.1,0.5,170,5
1462,0.1,0.5,150,5
1463,0.1,0.5,150,5
1464,0.1,0.5,150,5
1465,0.1,0.5,130,5
1466,0.1,0.5,130,5
1467,0.1,0.5,130,5
1468,0.1,0.5,130,5
1469,0.1,0.5,130,5
1470,0.1,0.5,130,5
1471,0.1,0.5,130,5
1472,0.1,0.5,130,5
1473,0.1,0.5,130,5
1474,0.1,0.5,120,5
1475,0.1,0.5,120,5
1476,0.1,0.5,120,5
1477,0.1,0.1,130,5
1478,0.1,0.1,130,5
1479,0.1,0.1,130,5
1480,0.1,0.1,170,5
1481,0.1,0.1,170,5
1482,0.1,0.1,170,5
1483,0.1,0.1,160,5
1484,0.1,0.1,160,5
1485,0.1,0.1,160,5
1486,0.1,0.1,130,5
1487,0.1,0.1,130,5
1488,0.1,0.1,130,5
1489,0.1,0.05,120,5
1490,0.1,0.05,120,5
1491,0.1,0.05,120,5
1492,0.1,0.05,140,5
1493,0.1,0.05,140,5
1494,0.1,0.05,140,5
1495,0.1,0.05,140,5
1496,0.1,0.05,140,5
1497,0.1,0.05,140,5
1498,0.1,0.05,130,5
1499,0.1,0.05,130,5
1500,0.1,0.05,130,5
1501,0.1,0.05,130,5
1502,0.1,0.05,130,5
1503,0.1,0.05,130,5
1504,0.1,0.05,200,5
1505,0.1,0.05,200,5
1506,0.1,0.05,200,5
1507,0,0.04,200,5
1508,0,0.04,200,5
1509,0,0.04,200,5
1510,0,0.04,140,5
1511,0,0.04,140,5
1512,0,0.04,140,5
1513,0,0.04,130,5
1514,0,0.04,130,5
1515,0,0.04,130,5
1516,0,0.03,120,5
1517,0,0.03,120,5
1518,0,0.03,120,5
1519,0,0.03,140,5
1520,0,0.03,140,5
1521,0,0.03,140,5
1522,0,0.03,130,5
1523,0,0.03,130,5
1524,0,0.03,130,5
1525,0.1,0.02,130,5
1526,0.1,0.02,130,5
1527,0.1,0.02,130,5
1528,0.1,0.02,130,5
1529,0.1,0.02,130,5
1530,0.1,0.02,130,5
1531,0.1,0.02,130,5
1532,0.1,0.02,130,5
1533,0.1,0.02,130,5
1534,0.1,0.01,130,5
1535,0.1,0.01,130,5
1536,0.1,0.01,130,5
1537,0.1,0.01,130,5
1538,0.1,0.01,130,5
1539,0.1,0.01,130,5
1540,0.1,0.01,110,5
1541,0.1,0.01,110,5
1542,0.1,0.01,110,5
1543,0,0,120,5
1544,0,0,120,5
1545,0,0,120,5
1546,0,0,130,5
1547,0,0,130,5
1548,0,0,130,5
1549,0,0,130,5
1550,0,0,130,5
1551,0,0,130,5
